objid,specobjid,u,g,r,i,z_mag,z,zErr,velDisp,snMedian,class,subClass,type,petroR50_r,petroR90_r,q_r,u_r,fracDeV_r,flags,plate,mjd,fiberID,ra,dec
1237671958055616813,5.956403922343301e+17,20.22463,18.34168,17.41384,16.98315,16.65306,0.07860217,2.461897e-05,127.8489,15.71312,GALAXY,,3,1.503979,4.20703,0.1693397,-0.08083071,0.975824,68987912192,529.0,52025.0,143.0,205.6307121830368,2.303762096856272
1237671261745578170,2.916236959418444e+18,19.91524,18.09782,17.13,16.66996,16.29845,0.08244051,2.863945e-05,85.95103,13.40253,GALAXY,,3,2.418188,7.121448,0.3311395,-0.003714646,0.8788817,35253360001296,2590.0,54175.0,568.0,156.43092148131845,15.832783081566156
1237661948657991804,1.9242405156377334e+18,19.20551,17.26811,16.28632,15.70687,15.29421,0.08537958,2.376472e-05,160.5922,12.54682,GALAXY,,3,2.936868,8.79318,-0.2930034,0.07151908,0.4133956,35289867223056,1709.0,53533.0,282.0,217.53968567148863,9.610022060488168
1237667142865453239,2.5716997603396424e+18,19.09218,17.23797,16.38598,15.97755,15.67635,0.06556562,1.297871e-05,151.1957,27.38832,GALAXY,,3,1.578354,4.289917,0.06122617,-0.1454898,0.9833338,35253360132112,2284.0,53708.0,525.0,136.26706976422597,23.21558889745097
1237667134806097997,4.805605876697422e+18,19.00994,17.08475,16.14252,15.65614,15.27039,0.05960736,1.012911e-05,167.1063,40.29258,GALAXY,,3,1.99507,5.916878,-0.06554637,0.1763129,0.9518157,35253360136240,4268.0,55483.0,964.0,31.87038458499997,4.313424680946711
1237668366388166910,2.8396906157871206e+18,22.56515,20.61647,19.9093,19.57876,19.41982,0.05488747,1.711214e-05,92.72665,21.77491,GALAXY,,6,0.4871599,1.013677,-0.03621068,0.004393883,1.0,35253393686544,2522.0,54570.0,622.0,240.58463605657747,13.167320469460432
1237678881035583631,,18.80657,16.84969,15.90397,15.45615,15.07608,,,,,,,3,2.685738,8.833534,0.2254348,0.1509044,1.0,69055152200,,,,34.26110993997224,-1.9590152018790772
1237646587144241254,7.792975948105912e+17,20.58337,18.66778,17.54947,17.02022,16.58695,0.1172226,4.933076e-05,205.1529,10.43577,GALAXY,,3,2.484835,6.505688,-0.09662752,-0.1854532,0.9614188,68988043264,692.0,52201.0,636.0,14.570505283898877,0.3670790662501146
1237657627898413316,1.049447333906901e+18,22.32384,22.93913,21.50163,20.72355,21.58219,0.04532201,1.23935e-05,156.5842,31.19216,GALAXY,,6,0.6307315,1.115534,0.01178023,-0.03496691,0.0,105622137868304,932.0,52620.0,395.0,126.26532671577966,32.50268524538482
1237664853111406752,2.0762065017640325e+18,19.80237,18.01172,17.02735,16.54131,16.10805,0.09737445,2.433309e-05,145.2319,15.38334,GALAXY,,3,2.985583,10.3302,-0.159499,0.2560965,1.0,193619541758224,1844.0,54138.0,171.0,225.72342618169623,30.09377329298042
1237648703505498276,3.2658549746174566e+17,19.67615,17.78825,16.78398,16.35199,15.97991,0.1124139,2.889498e-05,170.4864,15.04732,GALAXY,,3,2.079683,6.534525,-0.09697042,-0.2543192,1.0,68987912704,290.0,51941.0,271.0,188.2715308610798,-0.7582514419209231
1237667782275694977,2.7360366183129027e+18,19.20051,17.35718,16.38831,15.87812,15.48755,0.07927345,2.105831e-05,136.8516,18.01783,GALAXY,,3,2.61556,7.714928,-0.4223942,0.07395133,0.6339732,103347650560,2430.0,53815.0,363.0,132.22951285114877,13.755860434018894
